Males 2001,Females 2001,Males 2002,Females 2002,Males 2003,Females 2003,Males 2004,Females 2004,Males 2005,Females 2005,Males 2006,Females 2006,Males 2007,Females 2007,Males 2008,Females 2008,Males 2009,Females 2009,Males 2010,Females 2010,Males 2011,Females 2011,Males 2012,Females 2012
"96,958","98,367","96,945","98,362","96,949","98,368","96,985","98,379","96,957","98,393","96,920","98,397","96,974","98,403","97,087","98,463","97,227","98,481","97,304","98,541","97,309","97,309","97,344","98,554"
"96,820","98,300","96,805","98,296","96,809","98,302","96,849","98,313","96,818","98,326","96,774","98,330","96,830","98,337","96,944","98,397","97,087","98,413","97,163","98,474","97,167","97,167","97,200","98,485"
"96,675","98,228","96,659","98,224","96,663","98,230","96,708","98,242","96,674","98,253","96,623","98,259","96,683","98,266","96,797","98,328","96,943","98,340","97,020","98,403","97,021","97,021","97,054","98,411"
"96,523","98,149","96,507","98,146","96,512","98,153","96,563","98,166","96,528","98,176","96,471","98,182","96,532","98,190","96,648","98,254","96,796","98,263","96,874","98,328","96,873","96,873","96,905","98,334"
"96,359","98,062","96,346","98,061","96,352","98,069","96,411","98,084","96,376","98,093","96,314","98,100","96,377","98,109","96,495","98,174","96,644","98,182","96,724","98,247","96,722","96,722","96,752","98,253"
"96,183","97,966","96,174","97,967","96,184","97,977","96,249","97,996","96,219","98,005","96,151","98,012","96,216","98,021","96,336","98,089","96,485","98,095","96,570","98,161","96,565","96,565","96,595","98,167"
"95,992","97,861","95,990","97,864","96,004","97,876","96,076","97,901","96,053","97,909","95,981","97,917","96,048","97,927","96,170","97,998","96,319","98,001","96,410","98,068","96,403","96,403","96,431","98,074"
"95,788","97,746","95,793","97,752","95,810","97,764","95,890","97,796","95,876","97,805","95,800","97,813","95,869","97,825","95,996","97,899","96,144","97,901","96,243","97,967","96,233","96,233","96,260","97,975"
"95,569","97,621","95,579","97,628","95,599","97,641","95,688","97,679","95,682","97,689","95,605","97,699","95,679","97,714","95,811","97,790","95,958","97,791","96,066","97,860","96,054","96,054","96,080","97,867"
"95,336","97,485","95,347","97,492","95,371","97,506","95,470","97,550","95,470","97,561","95,393","97,572","95,473","97,592","95,612","97,671","95,760","97,672","95,880","97,745","95,866","95,866","95,891","97,752"
